Id,Reference,ArgumentTmp,ArgumentNameTmp,Action,MaxRecs,Version,Enabled,Status,Act,QueryExportTo,QueryExportFile,LoadN,LoadToN,LoadAll,RP,RU,RS,ERR,TimeInSec,Time,ExpSerMode,ExpSerCell,QueryExportDbLink,QueryExportTblType,QueryExportAppend,StepCompletion,ExcelFileName,UseAltSerModel,AltSerModelName,CompTblId,CompTblName,QueryAllPages,EnableParallelLoad,ApplyPrecision,Precision,DLMacroRptDBLinkID,DLMacroRptTblName,DLMacroRptDeleteDB,DLMacroRptTblAppend,BaseCellName,UpdateDate,SetDate,NMonthsFromValDate,ChangeSource,ChangeLinkage,IgnorePolicyTransactions,IgnoreFundTransactions,IgnoreFutureTransactions,EffDateOption,SourceId,SourceName
3,1,0,,,0,,TRUE,,10,0,,1,1,0,0,0,0,1,10,00:00:10,0,1,0,,FALSE,Completed,,0,,0,,FALSE,FALSE,0,0,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,0,
6,10,54,02.09 RCC_RCG FMT,,0,,TRUE,,0,0,,1,1,0,0,0,0,0,1,00:00:01,0,1,0,,FALSE,Completed,,0,,0,,FALSE,FALSE,0,0,0,,FALSE,FALSE,,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,31-Mar-21,0,
6,11,55,02.10 FBC FMT,,0,,TRUE,,0,0,,1,1,0,0,0,0,0,1,00:00:01,0,1,0,,FALSE,Completed,,0,,0,,FALSE,FALSE,0,0,0,,FALSE,FALSE,,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,31-Mar-21,0,
6,12,56,02.11 OtherPFs FMT,,0,,TRUE,,0,0,,1,1,0,0,0,0,0,1,00:00:01,0,1,0,,FALSE,Completed,,0,,0,,FALSE,FALSE,0,0,0,,FALSE,FALSE,,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,31-Mar-21,0,
6,13,57,02.12 ReportGroup1 FMT,,0,,TRUE,,0,0,,1,1,0,0,0,0,0,0,00:00:00,0,1,0,,FALSE,Completed,,0,,0,,FALSE,FALSE,0,0,0,,FALSE,FALSE,,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,31-Mar-21,0,
6,14,58,02.13 ReportGroup2 FMT,,0,,TRUE,,0,0,,1,1,0,0,0,0,0,1,00:00:01,0,1,0,,FALSE,Completed,,0,,0,,FALSE,FALSE,0,0,0,,FALSE,FALSE,,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,31-Mar-21,0,
6,16,60,01.00 CellTags FMT,,0,,TRUE,,1,0,,1,1,0,690,690,0,0,3,00:00:03,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,-1,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,0,
6,17,46,02.01 Fund1Investments FMT,,0,,TRUE,,1,0,,1,1,0,44,44,0,0,2,00:00:02,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,-1,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,15,02.01 Fund1Investments
6,21,50,02.05 COM FMT,,0,,TRUE,,1,0,,1,1,0,30,30,0,0,2,00:00:02,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,0,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,19,02.05 COM
6,22,51,02.06 FAD FMT,,0,,TRUE,,1,0,,1,1,0,534,534,0,0,2,00:00:02,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,0,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,20,02.06 FAD
6,23,52,02.07 SCS FMT,,0,,TRUE,,1,0,,1,1,0,30,30,0,0,5,00:00:05,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,0,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,21,02.07 SCS
6,24,53,02.08 AGD FMT,,0,,TRUE,,1,0,,1,1,0,88,88,0,0,1,00:00:01,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,0,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,22,02.08 AGD
6,25,54,02.09 RCC_RCG FMT,,0,,TRUE,,1,0,,1,1,0,52,52,0,0,2,00:00:02,0,1,0,,FALSE,Completed,,0,,0,,FALSE,TRUE,0,0,0,,FALSE,FALSE,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,23,02.09 RCC_RCG
